# Datos de Telemetría de Sensores - SIATA Medellín
# Formato: Timestamp|Sensor_ID|Humedad|Movimiento|Presion|Temperatura|Inclinacion|Vibracion|Flujo_Agua|Estado_Bateria

2024-03-10T10:00:00|S003|0.88|0.30|1014.38|24.7|4.4|0.15|2.8|0.76
2024-03-10T10:15:00|S003|0.95|0.32|1014.42|24.9|4.6|0.16|3.0|0.74
2024-03-10T10:30:00|S003|1.02|0.34|1014.45|25.1|4.8|0.17|3.2|0.72
2024-03-10T10:45:00|S003|1.10|0.36|1014.48|25.3|5.0|0.18|3.4|0.70
2024-03-10T11:00:00|S003|1.18|0.38|1014.52|25.5|5.2|0.19|3.6|0.68
2024-03-10T11:15:00|S003|1.27|0.40|1014.55|25.7|5.4|0.20|3.8|0.66
2024-03-10T11:30:00|S003|1.36|0.42|1014.58|25.9|5.6|0.21|4.0|0.64
2024-03-10T11:45:00|S003|1.46|0.44|1014.62|26.1|5.8|0.22|4.2|0.62
2024-03-10T12:00:00|S003|1.56|0.46|1014.65|26.3|6.0|0.23|4.4|0.60
2024-03-10T12:15:00|S003|1.67|0.48|1014.68|26.5|6.2|0.24|4.6|0.58
2024-03-10T12:30:00|S003|1.78|0.50|1014.72|26.7|6.4|0.25|4.8|0.56
2024-03-10T12:45:00|S003|1.90|0.52|1014.75|26.9|6.6|0.26|5.0|0.54
2024-03-10T13:00:00|S003|2.02|0.54|1014.78|27.1|6.8|0.27|5.2|0.52
2024-03-10T13:15:00|S003|2.15|0.56|1014.82|27.3|7.0|0.28|5.4|0.50
2024-03-10T13:30:00|S003|2.28|0.58|1014.85|27.5|7.2|0.29|5.6|0.48
2024-03-10T13:45:00|S003|2.42|0.60|1014.88|27.7|7.4|0.30|5.8|0.46
2024-03-10T14:00:00|S003|2.56|0.62|1014.92|27.9|7.6|0.31|6.0|0.44
2024-03-10T14:15:00|S003|2.71|0.64|1014.95|28.1|7.8|0.32|6.2|0.42
2024-03-10T14:30:00|S003|2.86|0.66|1014.98|28.3|8.0|0.33|6.4|0.40
2024-03-10T14:45:00|S003|3.02|0.68|1015.02|28.5|8.2|0.34|6.6|0.38
2024-03-10T15:00:00|S003|3.18|0.70|1015.05|28.7|8.4|0.35|6.8|0.36
2024-03-10T15:15:00|S003|3.35|0.72|1015.08|28.9|8.6|0.36|7.0|0.34
2024-03-10T15:30:00|S003|3.52|0.74|1015.12|29.1|8.8|0.37|7.2|0.32
2024-03-10T15:45:00|S003|3.70|0.76|1015.15|29.3|9.0|0.38|7.4|0.30
2024-03-10T16:00:00|S003|3.88|0.78|1015.18|29.5|9.2|0.39|7.6|0.28

2024-03-10T08:00:00|S004|0.35|0.05|1011.95|20.8|1.5|0.02|0.4|0.99
2024-03-10T08:15:00|S004|0.36|0.05|1011.97|20.9|1.5|0.02|0.4|0.98
2024-03-10T08:30:00|S004|0.37|0.05|1011.99|21.0|1.5|0.02|0.4|0.98
2024-03-10T08:45:00|S004|0.38|0.05|1012.01|21.1|1.5|0.02|0.4|0.97
2024-03-10T09:00:00|S004|0.39|0.05|1012.03|21.2|1.5|0.02|0.4|0.97
2024-03-10T09:15:00|S004|0.40|0.05|1012.05|21.3|1.5|0.02|0.4|0.96
2024-03-10T09:30:00|S004|0.41|0.05|1012.07|21.4|1.5|0.02|0.4|0.96
2024-03-10T09:45:00|S004|0.42|0.05|1012.09|21.5|1.5|0.02|0.4|0.95
2024-03-10T10:00:00|S004|0.43|0.05|1012.11|21.6|1.5|0.02|0.4|0.95
2024-03-10T10:15:00|S004|0.44|0.05|1012.13|21.7|1.5|0.02|0.4|0.94
2024-03-10T10:30:00|S004|0.45|0.05|1012.15|21.8|1.5|0.02|0.4|0.94
2024-03-10T10:45:00|S004|0.46|0.05|1012.17|21.9|1.5|0.02|0.4|0.93
2024-03-10T11:00:00|S004|0.47|0.05|1012.19|22.0|1.5|0.02|0.4|0.93
2024-03-10T11:15:00|S004|0.48|0.05|1012.21|22.1|1.5|0.02|0.4|0.92
2024-03-10T11:30:00|S004|0.49|0.05|1012.23|22.2|1.5|0.02|0.4|0.92
2024-03-10T11:45:00|S004|0.50|0.05|1012.25|22.3|1.5|0.02|0.4|0.91
2024-03-10T12:00:00|S004|0.51|0.05|1012.27|22.4|1.5|0.02|0.4|0.91
2024-03-10T12:15:00|S004|0.52|0.05|1012.29|22.5|1.5|0.02|0.4|0.90
2024-03-10T12:30:00|S004|0.53|0.05|1012.31|22.6|1.5|0.02|0.4|0.90
2024-03-10T12:45:00|S004|0.54|0.05|1012.33|22.7|1.5|0.02|0.4|0.89
2024-03-10T13:00:00|S004|0.55|0.05|1012.35|22.8|1.5|0.02|0.4|0.89
2024-03-10T13:15:00|S004|0.56|0.05|1012.37|22.9|1.5|0.02|0.4|0.88
2024-03-10T13:30:00|S004|0.57|0.05|1012.39|23.0|1.5|0.02|0.4|0.88
2024-03-10T13:45:00|S004|0.58|0.05|1012.41|23.1|1.5|0.02|0.4|0.87
2024-03-10T14:00:00|S004|0.59|0.05|1012.43|23.2|1.5|0.02|0.4|0.87
2024-03-10T14:15:00|S004|0.60|0.05|1012.45|23.3|1.5|0.02|0.4|0.86
2024-03-10T14:30:00|S004|0.61|0.05|1012.47|23.4|1.5|0.02|0.4|0.86
2024-03-10T14:45:00|S004|0.62|0.05|1012.49|23.5|1.5|0.02|0.4|0.85
2024-03-10T15:00:00|S004|0.63|0.05|1012.51|23.6|1.5|0.02|0.4|0.85
2024-03-10T15:15:00|S004|0.64|0.05|1012.53|23.7|1.5|0.02|0.4|0.84
2024-03-10T15:30:00|S004|0.65|0.05|1012.55|23.8|1.5|0.02|0.4|0.84
2024-03-10T15:45:00|S004|0.66|0.05|1012.57|23.9|1.5|0.02|0.4|0.83
2024-03-10T16:00:00|S004|0.67|0.05|1012.59|24.0|1.5|0.02|0.4|0.83

2024-03-10T08:00:00|S005|0.48|0.11|1013.45|22.3|2.2|0.05|0.9|0.94
2024-03-10T08:15:00|S005|0.51|0.12|1013.48|22.5|2.3|0.05|1.0|0.93
2024-03-10T08:30:00|S005|0.54|0.13|1013.52|22.7|2.4|0.06|1.1|0.92
2024-03-10T08:45:00|S005|0.57|0.14|1013.55|22.9|2.5|0.06|1.2|0.91
2024-03-10T09:00:00|S005|0.60|0.15|1013.58|23.1|2.6|0.07|1.3|0.90
2024-03-10T09:15:00|S005|0.63|0.16|1013.62|23.3|2.7|0.07|1.4|0.89
2024-03-10T09:30:00|S005|0.66|0.17|1013.65|23.5|2.8|0.08|1.5|0.88
2024-03-10T09:45:00|S005|0.69|0.18|1013.68|23.7|2.9|0.08|1.6|0.87
2024-03-10T10:00:00|S005|0.72|0.19|1013.72|23.9|3.0|0.09|1.7|0.86
2024-03-10T10:15:00|S005|0.75|0.20|1013.75|24.1|3.1|0.09|1.8|0.85
2024-03-10T10:30:00|S005|0.78|0.21|1013.78|24.3|3.2|0.10|1.9|0.84
2024-03-10T10:45:00|S005|0.81|0.22|1013.82|24.5|3.3|0.10|2.0|0.83
2024-03-10T11:00:00|S005|0.84|0.23|1013.85|24.7|3.4|0.11|2.1|0.82
2024-03-10T11:15:00|S005|0.87|0.24|1013.88|24.9|3.5|0.11|2.2|0.81
2024-03-10T11:30:00|S005|0.90|0.25|1013.92|25.1|3.6|0.12|2.3|0.80
2024-03-10T11:45:00|S005|0.93|0.26|1013.95|25.3|3.7|0.12|2.4|0.79
2024-03-10T12:00:00|S005|0.96|0.27|1013.98|25.5|3.8|0.13|2.5|0.78
2024-03-10T12:15:00|S005|0.99|0.28|1014.02|25.7|3.9|0.13|2.6|0.77
2024-03-10T12:30:00|S005|1.02|0.29|1014.05|25.9|4.0|0.14|2.7|0.76
2024-03-10T12:45:00|S005|1.05|0.30|1014.08|26.1|4.1|0.14|2.8|0.75
2024-03-10T13:00:00|S005|1.08|0.31|1014.12|26.3|4.2|0.15|2.9|0.74
2024-03-10T13:15:00|S005|1.11|0.32|1014.15|26.5|4.3|0.15|3.0|0.73
2024-03-10T13:30:00|S005|1.14|0.33|1014.18|26.7|4.4|0.16|3.1|0.72
2024-03-10T13:45:00|S005|1.17|0.34|1014.22|26.9|4.5|0.16|3.2|0.71
2024-03-10T14:00:00|S005|1.20|0.35|1014.25|27.1|4.6|0.17|3.3|0.70
2024-03-10T14:15:00|S005|1.23|0.36|1014.28|27.3|4.7|0.17|3.4|0.69
2024-03-10T14:30:00|S005|1.26|0.37|1014.32|27.5|4.8|0.18|3.5|0.68
2024-03-10T14:45:00|S005|1.29|0.38|1014.35|27.7|4.9|0.18|3.6|0.67
2024-03-10T15:00:00|S005|1.32|0.39|1014.38|27.9|5.0|0.19|3.7|0.66
2024-03-10T15:15:00|S005|1.35|0.40|1014.42|28.1|5.1|0.19|3.8|0.65
2024-03-10T15:30:00|S005|1.38|0.41|1014.45|28.3|5.2|0.20|3.9|0.64
2024-03-10T15:45:00|S005|1.41|0.42|1014.48|28.5|5.3|0.20|4.0|0.63
2024-03-10T16:00:00|S005|1.44|0.43|1014.52|28.7|5.4|0.21|4.1|0.62

# NOTA: Los valores representan:
# - Humedad: Porcentaje de humedad del suelo (0-1 normalizado)
# - Movimiento: Magnitud de movimiento sísmico detectado
# - Presión: Presión atmosférica en hPa
# - Temperatura: Temperatura en grados Celsius
# - Inclinación: Ángulo de inclinación de la ladera en grados
# - Vibración: Nivel de vibración detectado
# - Flujo_Agua: Flujo de agua subterránea
# - Estado_Bateria: Nivel de batería del sensor (0-1 normalizado)

# ALERTA: Sensor S001 muestra patrones críticos de deslizamiento
# ESTABLE: Sensores S002, S004, S005 muestran condiciones normales
# PRECAUCIÓN: Sensor S003 muestra tendencia ascendente gradual
