# Muestras de Laboratorio - Café del Suroeste Antioqueño
# Formato: ID_Muestra|pH|Acidez|Cuerpo|Aroma|Sabor|Dulzor|Amargura|Aftertaste|Calidad

CAF055|6.5|8.5|8.8|9.1|9.2|8.6|3.5|9.0|Alta
CAF056|6.2|7.2|6.7|7.0|6.9|6.6|5.7|6.8|Media
CAF057|5.7|5.7|4.6|5.0|4.8|4.4|8.3|4.7|Baja
CAF058|6.3|7.7|7.3|7.6|7.5|7.2|5.4|7.4|Media
CAF059|6.6|8.8|9.0|9.3|9.4|8.8|3.2|9.1|Alta
CAF060|6.0|6.5|5.4|5.8|5.6|5.3|6.6|5.5|Media
CAF061|5.8|6.1|5.0|5.3|5.1|4.8|7.9|5.0|Baja
CAF062|6.4|8.3|8.5|8.8|8.9|8.3|3.6|8.7|Alta
CAF063|6.1|7.0|6.5|6.8|6.7|6.4|5.9|6.6|Media
CAF064|5.9|6.4|5.3|5.7|5.5|5.1|7.1|5.3|Baja
CAF065|6.5|8.6|8.9|9.2|9.3|8.7|3.4|9.1|Alta
CAF066|6.2|7.3|6.8|7.1|7.0|6.7|5.6|6.9|Media
CAF067|5.7|5.8|4.7|5.1|4.9|4.5|8.2|4.8|Baja
CAF068|6.3|7.8|7.4|7.7|7.6|7.3|5.3|7.5|Media
CAF069|6.6|8.9|9.1|9.4|9.5|8.9|3.1|9.2|Alta
CAF070|6.0|6.6|5.5|5.9|5.7|5.4|6.7|5.6|Media
CAF071|5.8|6.2|5.1|5.4|5.2|4.9|7.7|5.0|Baja
CAF072|6.4|8.2|8.4|8.7|8.8|8.2|3.7|8.6|Alta
CAF073|6.1|6.9|6.0|6.3|6.2|5.9|6.4|6.1|Media
CAF074|5.9|6.3|5.2|5.6|5.4|5.0|7.2|5.2|Baja
CAF075|6.5|8.7|9.0|9.3|9.4|8.8|3.3|9.2|Alta
CAF076|6.2|7.4|6.9|7.2|7.1|6.8|5.5|7.0|Media
CAF077|5.7|5.9|4.8|5.2|5.0|4.6|8.1|4.9|Baja
CAF078|6.3|7.5|7.1|7.4|7.3|7.0|5.2|7.2|Media
CAF079|6.6|8.8|9.2|9.5|9.6|9.0|3.0|9.3|Alta
CAF080|6.0|6.7|5.6|6.0|5.8|5.5|6.8|5.7|Media
CAF081|5.8|6.0|4.9|5.2|5.0|4.7|8.0|4.9|Baja
CAF082|6.4|8.1|8.3|8.6|8.7|8.1|3.8|8.5|Alta
CAF083|6.1|7.1|6.6|6.9|6.8|6.5|5.8|6.7|Media
CAF084|5.9|6.4|5.3|5.7|5.5|5.1|7.3|5.3|Baja
CAF085|6.5|8.5|8.8|9.1|9.2|8.6|3.5|9.0|Alta
CAF086|6.2|7.2|6.7|7.0|6.9|6.6|5.7|6.8|Media
CAF087|5.7|5.7|4.6|5.0|4.8|4.4|8.3|4.7|Baja
CAF088|6.3|7.6|7.2|7.5|7.4|7.1|5.4|7.3|Media
CAF089|6.6|8.9|9.1|9.4|9.5|8.9|3.2|9.2|Alta
CAF090|6.0|6.5|5.4|5.8|5.6|5.3|6.6|5.5|Media
CAF091|5.8|6.1|5.0|5.3|5.1|4.8|7.8|5.0|Baja
CAF092|6.4|8.3|8.5|8.8|8.9|8.3|3.6|8.7|Alta
CAF093|6.1|6.8|6.1|6.4|6.3|6.0|6.3|6.2|Media
CAF094|5.9|6.2|5.1|5.5|5.3|4.9|7.6|5.1|Baja
CAF095|6.5|8.6|8.9|9.2|9.3|8.7|3.4|9.1|Alta
CAF096|6.2|7.3|6.8|7.1|7.0|6.7|5.6|6.9|Media
CAF097|5.7|5.8|4.7|5.1|4.9|4.5|8.2|4.8|Baja
CAF098|6.3|7.7|7.3|7.6|7.5|7.2|5.3|7.4|Media
CAF099|6.6|8.8|9.0|9.3|9.4|8.8|3.1|9.1|Alta
CAF100|6.0|6.6|5.5|5.9|5.7|5.4|6.7|5.6|Media

# NOTA: Escala de 1-10 para todas las características químicas
# pH: 5.5-7.0 (óptimo: 6.0-6.5)
# Acidez: 5.0-9.0 (óptimo: 7.5-8.5)
# Cuerpo: 4.0-10.0 (óptimo: 7.0-9.0)
# Aroma: 4.0-10.0 (óptimo: 7.5-9.5)
# Sabor: 4.0-10.0 (óptimo: 8.0-9.5)
# Dulzor: 4.0-9.0 (óptimo: 7.0-8.5)
# Amargura: 2.0-9.0 (óptimo: 3.0-4.0)
# Aftertaste: 4.0-10.0 (óptimo: 7.5-9.0)

# Clasificación de Calidad:
# Baja: Puntuación general < 6.0
# Media: Puntuación general 6.0-7.5
# Alta: Puntuación general > 7.5

# Región: Suroeste Antioqueño (Andes, Jardín, Jericó, etc.)
# Variedades: Caturra, Castillo, Colombia, Typica
